isogroup227096	GO:0070062;GO:0000139;GO:0042803;GO:0010634;GO:0010718;GO:0070374
isogroup258410	GO:0005739;GO:0005524;GO:0004004;GO:0046872;GO:0044822;GO:0006200;GO:0006396
isogroup235300	GO:0005578;GO:0007155
isogroup257937	GO:0005737;GO:0005634;GO:0016605;GO:0035861;GO:0016874;GO:0097371;GO:0002039;GO:0004842;GO:0008270;GO:0006281;GO:0031571;GO:0016567;GO:2000001;GO:0010212
isogroup243616	GO:0030424;GO:0030054;GO:0030425;GO:0005887;GO:0005622;GO:0043005;GO:0042734;GO:0005246;GO:0001641;GO:0014047;GO:0051966
isogroup248595	GO:0005887;GO:0004993;GO:0007198;GO:0007610;GO:0008283;GO:0050795;GO:0046883;GO:0007210;GO:0042310
isogroup234408	GO:0005737;GO:0005524;GO:0045087
isogroup245741	GO:0005789;GO:0016021;GO:0016765;GO:0006486;GO:0002040
isogroup234053	
isogroup238462	GO:0005797;GO:0000139;GO:0016021;GO:0016020;GO:0047220;GO:0008499;GO:0035250;GO:0030206;GO:0006024;GO:0015012;GO:0006486
isogroup252560	GO:0005737;GO:0005654;GO:0005634;GO:0003682;GO:0003677;GO:0003700;GO:0007049;GO:0006355;GO:0006351
isogroup262494	GO:0008275;GO:0005874;GO:0005875;GO:0000922;GO:0043015;GO:0008017;GO:0030953;GO:0051297;GO:0007126;GO:0007020;GO:0007017;GO:0007067;GO:0007052;GO:0051726;GO:0007283;GO:0051225
isogroup249004	GO:0005925;GO:0016021
isogroup258735	GO:0000932;GO:0016607;GO:0016605;GO:0003723;GO:0033962;GO:0000290
isogroup244382	
isogroup188510	GO:0043292;GO:0005737;GO:0070062;GO:0005925;GO:0030056;GO:0045111;GO:0042383;GO:0030506;GO:0044822;GO:0008307;GO:0031581
isogroup313860	GO:0005789;GO:0016021;GO:0031966;GO:0016874;GO:0004842;GO:0008270;GO:0071712;GO:0010507;GO:0031648;GO:0070936;GO:0070534;GO:2000785;GO:0009617
isogroup243280	GO:0008022;GO:0007186;GO:0007269
isogroup228720	GO:0005730;GO:0005634;GO:0044822;GO:0001560
isogroup178506	GO:0005789;GO:0016021;GO:0016746;GO:0006506;GO:0072659
isogroup164058	GO:0004519;GO:0046872
isogroup253923	GO:0005884;GO:0030424;GO:0005769;GO:0030426;GO:0016020;GO:0006897;GO:0010923;GO:0006457
isogroup261186	GO:0005737;GO:0005730;GO:0005731;GO:0005634;GO:0003682;GO:0046872;GO:0070403;GO:0097372;GO:0070932;GO:0070933;GO:0000122;GO:0007072;GO:0009303
isogroup228122	GO:0005634;GO:0003677
isogroup251362	
isogroup238238	GO:0005737;GO:0097482;GO:0031594;GO:0005635;GO:0061176;GO:0061177;GO:0003730;GO:0003723;GO:0000900;GO:0008595;GO:0048149;GO:0001709;GO:0016477;GO:0048813;GO:0007281;GO:0042078;GO:0008258;GO:0007616;GO:0007067;GO:0045786;GO:0042059;GO:0045892;GO:0017148;GO:0000288;GO:0048477;GO:0007280;GO:0045727;GO:0008582;GO:0050804;GO:0007268
isogroup253897	GO:0033593;GO:0005813;GO:0005634;GO:0043234;GO:0030141;GO:0043015;GO:0003697;GO:0051298;GO:0000910;GO:0006302;GO:0000724;GO:0033600;GO:0006289;GO:0045893
isogroup221796	GO:0005829;GO:0022625;GO:0003735;GO:0002181
