"","FR_FR...2","FR_BR...3","NS_FR...4","BR_FR...5","FR_NS","FR_BR...7","NS_FR...8","FR_BR...9","BR_NS...10","NS_NS...11","BR_BR...12","NS_FR...13","NS_FR...14","NS_NS...15","FR_FR...16","BR_BR...17","BR_NS...18","FR_FR...19","BR_FR...20","BR_BR...21","FR_BR...22","NS_BR...23","BR_BR...24","FR_FR...25","BR_FR...26","BR_FR...27","BR_NS...28","FR_BR...29","FR_BR...30","FR_FR...31","NS_BR...32","BR_FR...33","NS_BR...34","BR_BR...35","BR_FR...36","NS_BR...37","FR_FR...38","NS_NS...39","BR_BR...40","NS_NS...41"
"Apoptosis-inducing factor homolog B",0.221008116189118,0.394056388802309,-0.120010566719422,0.00183573577259821,-0.344936354539682,0.273433464787848,-0.0793438074094315,0.179797462633978,-0.229142038798321,-0.00277968399485218,-0.106676956365962,-0.297176242648762,-0.0185574886996314,0.190837262325029,0.0390376382124682,-0.460537711667582,-0.618438229952321,0.373743439609848,-0.249185310007362,-0.195026846344572,0.227521464657008,0.332129291102588,-0.307798034666002,0.191237611907188,-0.152305488559212,0.117346981003598,-0.257922498350402,-0.189094691772461,0.0792982755674885,0.0877612972685586,0.203391003538228,-0.0122791423318622,-0.241522697624411,0.283602480115588,-0.260717181330452,0.232338737766308,0.433449175911358,-0.0602968088403921,0.107539199929418,0.234382753522558
"Peptidyl-prolyl cis-trans isomerase CYP19-4",-0.107105990148694,0.562591697277266,-0.0153215541315248,-0.297232473347084,0.0176400977377451,0.452653004805835,0.561288510655776,0.336093670887055,-0.850748940232674,0.222329634576406,-0.375926339064645,-0.136029741733585,-0.0564366281940245,-0.114103792024305,0.420997282318825,-0.433620365776324,0.341437255873505,0.613891778409945,-0.375202935993585,-0.0103402048736543,-0.234016282290955,-0.0364651119685746,-0.505791902649574,-0.0671109013661244,-0.416903514091184,-0.564799460833704,-0.239518308637455,0.402891056951085,0.303568557777456,-0.0359934835600546,0.530897825922265,0.470704716288555,0.0355098928139652,-0.147062061910325,0.636231148265746,-0.191185453244384,0.351584432599405,-0.201844363686544,-0.478823344381695,-0.368727409020145
"Phosphatidylinositol 4-phosphate 5-kinase 1",-0.133824545985223,-0.400167577165013,0.439894084905877,0.364301267005097,-0.139003976300463,-0.239752484920973,-0.128445176827833,-0.340561428798213,0.667297107304277,-0.425741839822883,-0.0191831022252131,-0.318095690178833,-0.0218941268235229,0.216780967557777,-0.300191768238663,-0.0689421368266028,0.404974254073147,-0.344051411648783,0.0729168421529969,0.243803619760937,-0.0311046615845427,0.462932182119037,0.248217650543337,-0.193618734952413,0.0486972789873272,0.0337304141980672,0.0280459904666071,0.165776756518107,-0.079459173036593,-0.0346002024286127,-0.603845734019703,0.118099408605627,-0.157377094879103,0.428755366184217,-0.348030477180703,0.0807815149173772,-0.447240549844953,0.067211171170737,0.650348855238767,0.0325671619795171
"ATP-binding cassette sub-family G member 2",0.211492878275185,-0.666797860348115,-0.216371953245555,0.0320808368770549,-0.0895404035580851,-0.246772967222105,-0.248592512684195,-0.885715588787665,0.0141181290962149,0.219096891190295,0.249782712453185,-0.0260379382541451,-0.072003717615825,0.0392250801230349,-0.550210991358825,0.093575579895945,0.188926297539315,-0.411938416394975,0.390544357458275,-0.0969083445860348,0.186907148963735,0.177270189923335,0.493972496599655,0.320482407464915,-0.0826956714136848,0.224680282842335,0.310903111411275,0.038351972705335,-0.294579077716245,-0.163850156671565,-0.174576811094615,-0.462782118137175,0.173652043579295,0.108609382434125,0.465717393354075,-0.197450635711045,-0.400245014922925,0.447763019959735,0.264939750647865,0.634978216928595
"Eukaryotic translation initiation factor 3 subunit A",-0.387819051452828,0.677046265808872,0.223482966592042,-0.352144419566828,0.249829537375572,0.145674176298302,-0.178289000141008,0.650863863183332,-0.340603154171398,0.421161035493892,-0.554916367560968,-0.161236104256138,-0.204454099613758,-0.392951329763188,0.305118021676482,0.0904196341662322,-0.230557608928118,0.800857918286402,-0.101112367232098,0.210859741455282,-0.570422329971808,-0.554871448464728,-0.279620173697978,-0.254859231491248,0.239454648540352,-0.207531745215938,-0.618748831640168,-0.281016474899558,0.438481825940342,0.182999288243802,0.211334999864062,-0.184621423844058,0.377048607538652,-0.426724865562038,0.0983132144469221,0.055985637348162,0.346465107487562,0.487999056911072,-0.110303883650918,0.179408364467432
"Inositol oxygenase 5",0.493705021659299,-0.368577899922472,0.0465599436862281,-0.219895014693631,0.643077957364178,-0.254685203084692,-0.0604314952662417,0.138812708820928,-0.286403844073462,-0.0549665237898216,-0.152091976844952,0.0607383031759285,-0.469391980021192,0.0922158807379585,0.332842267365268,-0.0661522405077921,-0.133254838598171,-0.0245818205659614,0.217804698781668,-0.0953370473107213,0.404186389275278,0.254349654039609,0.166827417420889,0.448025602538008,-0.0559733221699821,-0.139230646202292,-0.0400148471422517,0.160380519360488,0.0456528280057586,-0.172984801102332,0.0253905568528783,-0.385779842021972,0.107053944747738,-0.237710984452002,-0.607645909592802,-0.354447025702021,0.204939166639308,-0.0328408487524019,0.109852359780688,0.259982891565079
"Pleckstrin homology domain-containing protein 1",-0.0201912875605226,0.230695032324007,0.0551970146884475,-0.0453785081728126,0.0587013409340473,0.382963028069187,-0.0672010586284326,0.291633650804117,-0.332868204582443,0.0019477022895078,-0.326109075092102,0.0841707262329177,-0.317015423123842,-0.102052825040882,0.0702597838568977,-0.434928351155122,-0.174397584449692,0.0983192755702573,-0.202578263856543,-0.174103515309763,0.309686253095908,-0.0722839228391328,0.221267058532257,0.217592398647618,-0.0640576673778623,-0.388340041648452,-0.128499010507203,0.163737722327477,0.454264545565628,-0.223350934466032,0.286407328504747,0.210280927104297,0.00368005215952749,-0.0564747803495926,0.193614700099867,-0.348953720150862,0.308728984584517,-0.268949841039163,-0.0183168704989827,0.122903360458197
"Nuclear polyadenylated RNA-binding protein 4",0.34608808851649,0.42442486062621,-0.79661236508611,-0.62451901102106,0.53072332749227,-0.16902269622935,0.23417170313752,0.40550361753464,0.1186839452692,-0.0564759260668701,-0.13602475537732,0.00236887794167995,0.12019431729183,-0.11128938670303,0.0230077802584798,0.25767755098297,0.0101148181976001,0.54144495607417,-0.0555799813543802,-0.1651977280835,0.0593805250092401,0.30798388669374,-0.43074083512325,-0.39174722201943,-0.26853223149056,-0.23115720076869,-0.0833425045385101,-0.16418865119431,0.32887716207206,0.22533423979794,0.13553710903443,-0.28841106468931,0.35158663777595,-0.0792938340434701,-0.35533268104706,-0.00962249739380017,0.39386080210137,-0.42850379712431,0.17187969774709,-0.14324953420055
"Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 7",-0.167397395432002,0.414451583357347,-0.0630576942777026,0.0259595347681176,0.116270175805738,0.259409196661327,0.324170611518728,0.612267425494847,-0.457968226478823,-0.405388828738833,-0.354644612597613,0.427364349822887,-0.0235895182938624,0.296686783328147,0.138098066058808,-0.0938717449847624,-0.550719582541273,0.466020793839528,-0.204681131147673,-0.201210532409243,-0.0431377507863826,0.386552175696298,-0.159135209382412,-0.0317137531690626,-0.363958672151982,-0.262143430952972,0.268671483448128,-0.220663227008562,0.316367611667358,-0.0627470025518124,-0.599473724293512,0.191065237751348,0.0458039721086374,0.0896989424595676,0.128981385548898,0.00680033057389773,0.406640377806748,0.352611233264967,-0.417335287531072,-0.591053946251762
"Calpain-A",-0.135983179987392,-0.184033635760712,0.0206022783434081,0.269035292037008,0.147516196949198,-0.648124255639032,0.148232077275378,-0.0799872620572017,0.278679996458438,0.0536273732881183,0.470026602575968,-0.143724935299502,0.209156918206818,0.0972840707061984,0.211731249188548,0.254465663759358,0.302020209819658,-0.231326075076692,-0.408128011591752,-0.0927523428805523,-0.157839051866062,0.0788714646037683,0.0465622716161382,0.117843268318448,0.263652752482788,-0.0825259292543823,0.181561167723308,0.120042911414548,-0.588473149870522,-0.175162948456752,-0.0233611488789016,0.140818740163208,-0.239286876431912,0.277746292369268,-0.455045666079922,0.112672407326898,-0.639328791110652,0.196290459926398,0.294008250625028,-0.00736465493596228
"Ubiquitin-conjugating enzyme E2 11",-0.0725401109098112,0.716173735861359,0.246912427680169,0.130688707746669,0.370522589420469,0.152223811617599,-0.0584032180976308,0.342355516706919,-0.182050895739391,-0.149749645604271,-0.397110590122121,0.0421843675279794,0.0433322312695887,0.0602351387578786,0.561782572771639,-0.194834128265921,-0.284641194059821,0.276380042693089,-0.232818981807041,0.116926185457109,-0.321501107716561,-0.635348455636851,-0.417526090167361,-0.0484474777121209,-0.193620839819461,0.141785909914739,-0.444787227197521,-0.143428720479481,0.0673036616057088,0.243110347882189,-0.147277039790501,0.0882211737994787,0.0539186546050994,0.366200010305199,-0.230845641335311,-0.273011519369851,0.577153406393159,0.0709519922641988,-0.267358633076281,0.0269390326270793
"Coiled-coil domain-containing protein 94 homolog",0.00258486971153582,-0.465061546221504,0.0573857280527257,-0.209022162132664,-0.363385347153224,-0.763014876320544,0.446750265167496,-0.465964310777284,0.0847917505484057,0.0770552290473256,-0.255986148165384,-0.0341686991082844,0.227904504473116,0.127234978301066,-0.615803838738405,0.328930882020716,0.546203349868476,-0.343393998427914,0.228484151232766,-0.422351649950804,-0.244176064400854,-0.122689731937694,0.546892732120176,-0.247855623125664,0.303856200548865,0.197354987249486,-0.396939435535105,0.131213239356266,-0.259294985222275,0.546881869780636,0.160741407001866,0.611538013766606,0.173104689608635,0.521273330420946,0.188403532993795,0.394247377985176,-0.248980184046375,-0.183350758876744,-0.602381785444204,0.340988056328856
"Pepsin-2B",-0.31731106864486,-0.14577064010883,-0.0998144554621598,0.26640829525865,-0.3283070448033,-0.25291925268427,-0.12846804854257,-0.21381413948549,0.27616520185069,-0.1348763560725,0.4880943409021,-0.23132242632603,0.27298546960723,-0.12808735697587,-0.27098072901817,-0.23185336297188,-0.11334826907338,-0.15401041562922,-0.15553497105978,-0.33250312934327,0.09973064670343,-0.40903088515929,0.60396112786827,0.0991314810081501,0.41241480191208,-0.0588258785512199,0.2299401526218,-0.17607951706686,0.0303625231075504,-0.44565228733102,-0.0626962832319999,0.74346060374921,-0.0122998213599499,0.40619356422385,0.17120339215022,0.18564636309196,-0.45022157146113,0.24602479470901,0.1524885177486,0.16951663385024
